Sample_ID,Target_Load_kN,TNN_Material,TNN_CrossSection,TNN_Length_m,TNN_Thickness_m,TNN_FoS,TNN_Physics_Load_kN,TNN_Physics_Error_pct,TNN_Governing,FEA_Apply_Load_N,FEA_Max_VonMises_MPa,FEA_Max_Deflection_mm,FEA_Load_at_Failure_kN,FEA_vs_Target_Error_pct,FEA_Pass_Fail
INV-01,1,Aluminum,Circular,12.143,0.1227,2.57,11.105,1010.45,Deflection,11104.5,,,,,
INV-02,1.373,Aluminum,Circular,12.091,0.1276,2.57,13.091,853.78,Deflection,13091.5,,,,,
INV-03,1.884,Aluminum,Circular,12.117,0.1373,2.57,17.509,829.37,Deflection,17509.5,,,,,
INV-04,2.586,Aluminum,Circular,12.237,0.1523,2.57,25.973,904.38,Deflection,25973.4,,,,,
INV-05,3.55,Steel,Circular,12.381,0.1679,2.58,108.708,2962.59,Deflection,108707.7,,,,,
INV-06,4.872,Steel,Circular,12.413,0.179,2.59,139.404,2761.29,Deflection,139404.3,,,,,
INV-07,6.687,Steel,Circular,12.371,0.1895,2.6,166.262,2386.2,Bending,166261.9,,,,,
INV-08,9.179,Steel,Circular,12.24,0.2037,2.6,208.41,2170.48,Bending,208409.7,,,,,
INV-09,12.599,Steel,Rectangular,12.081,0.2191,2.6,222.854,1668.8,Bending,222854.3,,,,,
INV-10,17.294,Steel,Rectangular,11.969,0.2389,2.59,293.317,1596.1,Bending,293316.8,,,,,
INV-11,23.737,Steel,Rectangular,11.819,0.2645,2.53,412.056,1635.91,Bending,412055.8,,,,,
INV-12,32.582,Steel,Rectangular,11.547,0.284,2.46,536.85,1547.71,Bending,536849.8,,,,,
INV-13,44.721,Steel,Rectangular,11.303,0.2919,2.43,604.538,1251.79,Bending,604538.5,,,,,
INV-14,61.384,Steel,Rectangular,11.177,0.297,2.41,649.371,957.88,Bending,649371.4,,,,,
INV-15,84.256,Steel,Rectangular,11.078,0.3046,2.39,710.474,743.23,Bending,710474.1,,,,,
INV-16,115.649,Steel,Rectangular,10.775,0.3166,2.39,821.228,610.1,Bending,821227.7,,,,,
INV-17,158.74,Steel,Rectangular,10.372,0.3244,2.39,917.498,477.99,Bending,917497.7,,,,,
INV-18,217.886,Steel,Rectangular,10.126,0.333,2.4,1010.987,364,Bending,1010986.9,,,,,
INV-19,299.07,Aluminum,Rectangular,9.948,0.3435,2.42,862.979,188.55,Deflection,862978.7,,,,,
INV-20,410.502,Aluminum,Rectangular,9.815,0.3534,2.43,993.414,142,Deflection,993413.6,,,,,
INV-21,563.454,Aluminum,Rectangular,9.698,0.364,2.45,1144.949,103.2,Deflection,1144948.6,,,,,
INV-22,773.395,Aluminum,Rectangular,9.559,0.376,2.46,1341.13,73.41,Deflection,1341130.2,,,,,
INV-23,1061.559,Aluminum,Rectangular,9.406,0.3886,2.47,1580.297,48.87,Deflection,1580296.8,,,,,
INV-24,1457.092,Aluminum,Rectangular,9.083,0.3991,2.47,1885.324,29.39,Deflection,1885323.9,,,,,
INV-25,2000,Aluminum,Box,8.51,0.4062,2.45,961.165,51.94,Deflection,961165.1,,,,,
