Sample_ID,Material,Cross_Section_Type,Beam_Length_m,Thickness_m,Factor_of_Safety,Moment_of_Inertia_m4,Cross_Sec_Area_m2,y_max_m,Young_Modulus_GPa,Yield_Strength_MPa,Sigma_Allow_MPa,P_Bending_kN,P_Shear_kN,P_Deflection_kN,Max_Load_kN,Governing_Criterion,Slenderness_Ratio,Max_Deflection_mm,Bending_Stress_MPa,Stress_Utilization_pct
1,Steel,Rectangular,8.742,0.478,2.5,0.014660712,0.34246999,0.358366,200,250,100,1871.937,26484.346,6139.189,1898.548,Bending,18.29,8.885,100,40
2,Steel,Rectangular,10.025,0.095,2.5,2.29E-05,0.01353428,0.071242,200,250,100,12.824,1046.651,7.291,7.59,Deflection,105.54,33.4166,56.851,22.74
3,Steel,Rectangular,17.591,0.321,2.5,0.00296766,0.15408206,0.240376,200,250,100,280.729,11915.68,306.884,276.775,Bending,54.89,53.6397,100,40
4,Steel,Rectangular,5.273,0.133,3,8.68E-05,0.02634711,0.099399,200,250,83.333,55.186,1697.925,99.87,56.084,Bending,39.79,9.7122,83.333,33.33
5,Steel,Rectangular,13.01,0.053,1.5,2.25E-06,0.00424214,0.039885,200,250,166.667,2.89,546.765,0.425,0.5,Deflection,244.64,43.3659,24.526,9.81
6,Steel,Rectangular,4.511,0.181,2.5,0.000304976,0.04939437,0.136099,200,250,100,198.705,3819.831,479.613,189.621,Bending,24.86,6.2296,100,40
7,Steel,Rectangular,8.884,0.492,1.5,0.016540737,0.36376626,0.36934,200,250,166.667,3360.569,46885.43,6705.897,3372.89,Bending,18.04,14.8408,166.667,66.67
8,Steel,Rectangular,5.069,0.079,3,1.11E-05,0.00942636,0.059455,200,250,83.333,12.284,607.477,13.83,12.094,Bending,63.95,15.0086,83.333,33.33
9,Steel,Rectangular,18.96,0.303,2,0.002385674,0.13814989,0.22761,200,250,125,276.414,13354.489,212.374,208.547,Deflection,62.47,63.1988,96.04,38.42
10,Steel,Rectangular,14.316,0.248,3,0.001065074,0.09230706,0.186051,200,250,83.333,133.29,5948.677,166.293,132.124,Bending,57.71,38.2498,83.333,33.33
11,Steel,Rectangular,10.913,0.065,1.5,5.17E-06,0.00643043,0.049106,200,250,166.667,6.43,828.811,1.389,1.423,Deflection,166.68,36.3773,35.998,14.4
12,Steel,Rectangular,7.611,0.284,2,0.00183043,0.12101008,0.213023,200,250,125,564.503,11697.641,1011.213,543.828,Bending,26.8,14.1623,125,50
13,Steel,Rectangular,12.219,0.064,2,4.75E-06,0.00616148,0.048068,200,250,125,4.04,595.61,1.017,1.024,Deflection,190.64,40.7287,31.472,12.59
14,Steel,Rectangular,18.594,0.09,3,1.83E-05,0.01210189,0.067366,200,250,83.333,4.872,779.899,1.694,1.739,Deflection,207.01,61.9791,28.984,11.59
15,Steel,Rectangular,2.814,0.196,3.5,0.000418453,0.05785864,0.147299,200,250,71.429,288.43,3196.001,1690.909,295.125,Bending,14.33,1.6001,71.429,28.57
